QUPHEN01    -1.9831294    2.402    2.465018257    -2.528036514    0.102    0.16    0.02362    2.6908665    2.499521592    -2.308176684    6.8165202    -0.9123458    785.131    168    0.804763484    3.2295    306
RAKGOA    -2.4500768    2.27697863    2.357969832    -2.438961034    0.159    0.16    0.04099    2.7592731    2.595768092    -2.432263084    7.1159156    -0.9572597    866.541    336    0.889214038    3.5288    350
REBWIE    -1.3961959    1.77465051    1.8402    -1.90574949    0.0362    0.13    0.02097    2.0245879    1.883951411    -1.743314922    6.7031116    -1.2720233    955.544    192    0.822692675    3.30176    378
SANQII    -1.4388007    2.17429648    2.2185    -2.26270352    0.139    0.19    0.09346    2.6075027    2.300458848    -1.993414996    6.9754375    -0.7465805    698.845    144    0.828941847    3.3095    278
SETTES    -1.498651    1.97464931    1.819906325    -1.66516334    0.81192    1.05739    0.05253    2.15937856    1.994217982    -1.829057404    6.337999107    -1.253005325    1241.111    120    0.930155128    3.730783974    1001
SURTAA    -1.4892767    1.66240029    1.7627    -1.86299971    0.483    0.1    0.13367    2.1345059    1.986021123    -1.837536346    7.1725835    -1.4336272    756.431    144    0.872866077    3.52018    300
TBZHCE    -0.9433107    0.95026913    1.0702    -1.19013087    0.289    0.43    0.00072    1.5487144    1.302544481    -1.056374562    6.1400204    -1.6937445    1315.221    256    0.899781812    3.60559    526
TBZPER    -1.3371735    1.70971081    1.7569    -1.80408919    0.0769    0.08    0.03062    1.9514059    1.756186176    -1.560966452    6.3438524    -1.3009201    1064.466    416    0.873339971    3.48448    426
TBZPYR    -1.4080396    1.94382422    1.9563    -1.96877578    0.255    0.09    0.07158    2.2045205    1.962826696    -1.721132892    6.5559365    -1.0478083    883.196    88    0.870873485    3.49762    352
TEBNAP    -1.7379    2.33151868    2.3765    -2.42148132    0.151    0.06    0.05294    2.6533658    2.37298691    -2.09260802    6.8360521    -0.7359569    825.3    168    0.83596564    3.34373    328
TERPHE02    -2.0961168    2.647    2.666281862    -2.685563724    0.186    0.37    0.02778    2.9109398    2.659264056    -2.407588312    7.1674412    -0.5789137    588.973    64    0.794612549    3.2405    230
TERPHO02    -2.3645259    3.34035487    3.4059    -3.47144513    0.07576    0.2    0.02942    3.6588369    3.366296933    -3.073756966    7.5351188    -0.007494    588.13    128    0.750837667    3.04518    230
TETCEN01    -0.4441949    1.365    1.2033    -1.0416    0.146    0.05    0.08081    1.6183667    1.32038349    -1.02240028    6.5407402    -1.172699    577.601    60    0.810907746    3.27637    228
TPHBEN01    -2.5597121    2.93923976    3.3229    -3.70656024    0.278    0.18    0.03025    3.5474771    3.244832481    -2.942187862    7.3304371    -0.3723362    786.294    168    0.767557574    3.033    306
TRIPHE12    -2.5203489    2.966    3.054929163    -3.143858326    0.219    0.47    0.04784    3.5516328    3.270622539    -2.989612278    7.5312115    -0.1044157    573.299    120    0.822824405    3.2776    228
VEBJAO    -0.0705298    1.024    0.982574784    -0.941149568    0.00827    0.01    0.00217    1.0480663    0.817308459    -0.586550618    5.4771575    -1.89598    2627.167    544    0.764442259    3.102    1038
VEBJES    0.0310159    1.005453    0.980700518    -0.955948036    0.0362    0.02    0.0076    1.0669497    0.824872395    -0.58279509    5.7406437    -1.7136812    1478.764    152    0.761476355    3.05507    582
VEBJIW    -0.0011666    0.82771205    0.9182    -1.00868795    0.113    0.083    0.0295    1.090549    0.830871026    -0.571193052    5.922249    -1.6651258    1090.011    448    0.766551248    3.07268    430
VEBJOC    0.0051381    0.92992971    0.8159    -0.70187029    0.0811    0.14    0.01364    1.0341144    0.80282477    -0.57153514    5.6259917    -1.8367755    1869.509    96    0.798044367    3.23414    734
VEBKAP    -0.23484498    0.72871813    0.7018    -0.67488187    0.0076    0.052    0.11228    1.1190691    0.854251057    -0.589433014    6.0445465    -1.6210509    896.597    184    0.789710078    3.1537    354
