name,IP,EA,Et,gap
4022929/,6.95643386,-1.673288641,1.752103126,1.72579786
2105563/,8.397773751,-1.53778056,2.115426427,2.19339335
7206387/,5.584409851,-1.124819141,1.40722076,1.52934473
2232526/,8.104325922,-2.039078055,2.043790161,2.19285018
1512576/,7.625865344,-1.863246206,1.923537191,1.53711025
2233778/,7.76720819,-2.014982732,1.960522146,2.216707
7153817/,7.382678428,-1.193488599,1.86386215,2.07057618
7053850/,6.497771712,-1.846491358,1.640660865,1.68232331
2223677/,7.297535103,-1.749789279,1.848730716,1.97072638
7218742/,5.658872219,-1.08559293,1.436035718,1.50850672
4506880/,6.970300591,-1.190440059,1.770023008,1.91844284
2238965/,7.334672094,-0.903291542,1.864004153,1.84562866
2222811/,7.361267203,-2.38838095,1.87134046,1.93581607
4068987/,7.018659282,-1.328005911,1.784649145,1.88375811
4503807/,8.181003522,-1.772370045,2.081883418,2.13839124
1505244/,7.057368542,-1.933654791,1.801274359,1.97744788
2104102/,6.007314972,-0.918488184,1.533308226,1.68861936
7153818/,7.3911006,-1.156179174,1.887216069,2.08429925
4029100/,7.986271006,-2.051437848,2.039718099,2.14863369
7221735/,5.714868967,-1.103360547,1.462210356,1.5825346
7221737/,5.683694561,-1.119514663,1.455090602,1.57229495
7117549/,7.089121601,-1.670407745,1.815271642,1.73312428
7052236/,6.258562041,-0.934050872,1.604056631,1.87198735
4102530/,7.844198552,-2.407437156,2.013242648,1.64056137
2237828/,7.225595147,-1.40920146,1.854626779,1.93567941
4023987/,6.123325892,-1.320640387,1.574192772,1.7594754
4333484/,7.5247756,-1.20272249,1.936187546,2.15260925
4022555/,7.772632695,-1.422865869,2.000628348,1.99913976
7150844/,7.945823597,-2.258573339,2.049349547,2.12414256
4029945/,7.597830791,-1.580410376,1.962041841,2.0500804
7220041/,7.861740589,-1.020803831,2.03348375,2.26719944
1507029/,7.575441498,-1.795134628,1.960309527,1.71000017
1514332/,7.177234714,-1.749282639,1.858853689,2.08281631
1503041/,7.618666971,-1.40265716,1.974862584,2.02598251
2202930/,7.60620061,-1.288029109,1.97192938,2.08911361
4030009/,7.223412393,-1.367798614,1.874435819,2.03937443
4023764/,7.259026771,-1.29767926,1.886182038,2.10927807
4115759/,7.257214247,-0.717576852,1.887447355,2.06535929
4513307/,7.484915594,-0.907258899,1.947304791,2.2751464
7221739/,5.698397069,-1.141062188,1.483662407,1.5951175
4024773/,6.98389256,-1.446643122,1.819400965,1.78973539
7221738/,5.687994946,-1.111725036,1.482216043,1.59613085
4115757/,7.241858331,-0.70181075,1.887815688,2.06582011
7206389/,5.62690237,-1.14171121,1.467257713,1.59077624
7153961/,7.053226847,-1.084817397,1.839983655,2.12449805
7206390/,5.638379566,-1.156484151,1.471399775,1.58309785
1508941/,7.456086878,-1.598209124,1.948132431,2.01987124
1504491/,7.323842277,-1.63092778,1.918687239,1.95574524
7050809/,6.820165168,-1.618523535,1.787055638,1.9615234
4025992/,7.636283747,-1.607096076,2.001554553,1.81166791
7102596/,6.799659016,-2.069075477,1.785129227,1.70627092
4020189/,7.259889665,-1.625106235,1.910077269,2.11766483
4025710/,6.24877208,-1.235627148,1.644956133,1.83587356
2229083/,7.548963359,-1.108545924,1.987567875,2.15850143
4020381/,6.657048561,-0.614751933,1.753570883,1.10374224
2205162/,7.912038754,-1.163509713,2.086199014,2.09710801
4022006/,6.634902165,-1.620157442,1.754536081,1.98937764
2217985/,7.078234577,-1.361322578,1.876871974,2.02122639
4505259/,7.620790403,-1.215207486,2.022267297,2.28000198
2215984/,7.210970379,-1.464706194,1.914598665,2.08644353
2011467/,6.783171117,-1.314671618,1.802087349,1.58904657
1517549/,7.31636285,-1.593460719,1.943875186,1.84657304
7117624/,7.593421629,-1.918176943,2.017915648,2.1967841
7151385/,6.98778795,-1.121245707,1.857705523,1.89246376
8100758/,6.637185304,-1.319247855,1.764533372,1.83896002
4000665/,7.016433927,-0.974993619,1.866567686,2.17174773
7151611/,6.860638179,-1.266252492,1.82896276,1.81221095
2201939/,7.134758494,-0.703458844,1.905558499,1.85569723
7152484/,8.06806253,-1.330473847,2.155841609,1.99686674
7214754/,7.68383985,-1.633054964,2.054741047,2.11238301
